"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"KFRC","Kforce, Inc.","19.21","$544.73M","1995","Technology","Professional Services","http://www.nasdaq.com/symbol/kfrc",
"KE","Kimball Electronics, Inc.","10.69","$309.38M","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/ke",
"KBAL","Kimball International, Inc.","11.34","$424.56M","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/kbal",
"KIN","Kindred Biosciences, Inc.","3.52","$69.82M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kin",
"KGJI","Kingold Jewelry Inc.","1.41","$93.01M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/kgji",
"KINS","Kingstone Companies, Inc","9.27","$67.87M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kins",
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","2.4","$3.37M","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/kone",
"KIRK","Kirkland&#39;s, Inc.","15.98","$252.21M","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/kirk",
"KITE","Kite Pharma, Inc.","45.05","$2.2B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/kite",
"KTOV","Kitov Pharamceuticals Holdings Ltd.","5.94","$23.19M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ktov",
"KTOVW","Kitov Pharamceuticals Holdings Ltd.","1.9136","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ktovw",
"KLAC","KLA-Tencor Corporation","69.63","$10.84B","1980","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/klac",
"KLRE","KLR Energy Acquisition Corp.","9.9201","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/klre",
"KLREU","KLR Energy Acquisition Corp.","10.1","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/klreu",
"KLREW","KLR Energy Acquisition Corp.","0.19","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/klrew",
"KLXI","KLX Inc.","32.89","$1.74B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/klxi",
"KONA","Kona Grill, Inc.","13.34","$150.3M","2005","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/kona",
"KZ","KongZhong Corporation","7.2","$339.14M","n/a","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/kz",
"KOPN","Kopin Corporation","1.68","$112.01M","1992","Technology","Semiconductors","http://www.nasdaq.com/symbol/kopn",
"KRNT","Kornit Digital Ltd.","9.38","$284.18M","2015","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/krnt",
"KOSS","Koss Corporation","2.1004","$15.51M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/koss",
"KWEB","KraneShares CSI China Internet ETF","35.34","$120.16M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kweb",
